Student Number;BES 220 (S2);BSS 310 (S1);CHM 171 (S1);CHM 172 (S2);CIL 111 (S1);CIL 121 (S2);EBN 111 (S1);EBN 122 (S2);EIR 221 (S2);FSK 116 (S1);FSK 176 (S2);IPI 410 (S1);JCP 203 (Y);JPO 110 (S1);JPO 112 (S1);JPO 113 (S1);JPO 116 (S1);JPO 120 (S2);JPO 125 (S2);JPO 126 (S2);MGC 110 (S1);MIA 320 (S2);MJJ 210 (S1);MOW 217 (S1);MPR 213 (S1);MSD 210 (S1);MTV 310 (S1);MTX 221 (S2);NMC 113 (S1);NMC 123 (S2);SNV 111 (S1);SNV 121 (S2);SWK 122 (S2);SWK 210 (S1);WTW 158 (S1);WTW 161 (S2);WTW 168 (S2);WTW 238 (S2);WTW 256 (S1);WTW 258 (S1);WTW 263 (S2);Target
11009404;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0;30.0;NA;NA;36.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0;35.0;NA;NA;NA;NA;NA;Graduated (T)
11009463;86.0;79.0;66.0;NA;79.0;72.0;NA;84.0;96.0;79.0;NA;NA;85.0;NA;NA;NA;NA;NA;NA;NA;58.0;68.0;NA;NA;92.0;NA;NA;NA;NA;NA;NA;NA;70.0;100.0;79.0;73.0;69.0;82.0;71.0;75.0;77.0;Graduated_0
11009472;55.0;50.0;NA;62.0;79.0;75.0;64.0;NA;66.0;69.0;NA;66.0;87.0;NA;NA;NA;NA;NA;NA;NA;70.0;64.0;76.0;68.0;74.0;67.0;55.0;66.0;NA;56.0;68.0;73.0;52.0;NA;72.0;61.0;52.0;50.0;51.0;60.0;65.0;Graduated_0
11009579;65.0;64.0;75.0;NA;NA;76.0;NA;75.0;67.0;69.0;NA;NA;98.0;NA;NA;NA;NA;NA;NA;NA;73.0;73.0;NA;NA;80.0;NA;NA;NA;NA;NA;85.0;77.0;56.0;63.0;76.0;71.0;61.0;61.0;64.0;69.0;64.0;Graduated_0
11010020;50.0;61.0;NA;34.0;NA;75.0;35.0;NA;NA;28.0;50.0;78.0;96.0;NA;NA;NA;NA;NA;NA;NA;67.0;68.0;76.0;37.0;50.0;33.0;NA;51.0;34.0;32.0;50.0;63.0;50.0;NA;29.0;51.0;53.0;54.0;35.0;61.0;61.0;Graduated_2
11010152;83.0;88.0;66.0;NA;NA;78.0;NA;73.0;61.0;76.0;NA;NA;98.0;NA;NA;NA;NA;NA;NA;NA;75.0;75.0;NA;NA;90.0;NA;NA;NA;NA;NA;65.0;61.0;58.0;64.0;82.0;87.0;61.0;75.0;56.0;69.0;78.0;Graduated_0
11010283;64.0;NA;57.0;NA;NA;75.0;NA;65.0;NA;NA;72.0;50.0;87.0;NA;NA;NA;NA;NA;NA;NA;62.0;NA;NA;NA;65.0;NA;NA;NA;53.0;NA;75.0;69.0;58.0;52.0;75.0;87.0;70.0;75.0;58.0;66.0;79.0;Graduated_1
11010305;66.0;80.0;NA;55.0;NA;80.0;51.0;NA;75.0;63.0;NA;62.0;72.0;NA;NA;NA;NA;NA;NA;NA;70.0;73.0;74.0;67.0;82.0;53.0;79.0;76.0;NA;51.0;67.0;68.0;39.0;NA;60.0;61.0;57.0;58.0;52.0;56.0;67.0;Graduated_1
11010577;74.0;NA;61.0;NA;77.0;82.0;NA;75.0;NA;NA;66.0;73.0;99.0;NA;NA;NA;NA;NA;NA;NA;75.0;NA;NA;NA;55.0;NA;NA;NA;50.0;NA;79.0;66.0;50.0;60.0;58.0;65.0;52.0;54.0;56.0;57.0;62.0;Graduated_0
11010739;52.0;57.0;47.0;NA;NA;NA;60.0;NA;54.0;NA;64.0;NA;80.0;80.0;60.0;59.0;79.0;73.0;66.0;85.0;72.0;76.0;NA;NA;50.0;NA;NA;NA;NA;NA;NA;NA;58.0;36.0;67.0;60.0;58.0;45.0;50.0;50.0;50.0;Graduated_3
11011000;54.0;66.0;NA;56.0;NA;81.0;50.0;NA;61.0;69.0;NA;62.0;85.0;NA;NA;NA;NA;NA;NA;NA;72.0;70.0;75.0;69.0;66.0;60.0;54.0;69.0;58.0;45.0;67.0;63.0;67.0;NA;51.0;50.0;50.0;64.0;67.0;50.0;53.0;Graduated_1
11011018;55.0;71.0;NA;58.0;NA;84.0;65.0;NA;67.0;63.0;NA;60.0;87.0;NA;NA;NA;NA;NA;NA;NA;73.0;73.0;71.0;62.0;84.0;70.0;66.0;68.0;NA;50.0;59.0;71.0;61.0;NA;77.0;63.0;56.0;56.0;56.0;70.0;52.0;Graduated_2
11011239;43.0;56.0;NA;43.0;NA;NA;55.0;NA;NA;36.0;NA;60.0;75.0;56.0;50.0;70.0;68.0;62.0;60.0;64.0;53.0;64.0;NA;NA;NA;44.0;NA;NA;NA;34.0;NA;NA;50.0;NA;39.0;0.0;30.0;40.0;42.0;50.0;60.0;Active (BEng)
